Fecha(yyyy-mm-dd),Hora(hh:mm:ss),Temperatura(℃),Humedad(%),Dirección del viento(°),Velocidad del viento(m/s),Presión barométrica(hPa),Precipitación(mm)
2024-05-18,0 days 06:59:46,29.8,74.5,69.7,0.5,1004.5,0.0
2024-05-18,0 days 07:14:46,29.9,73.5,100.2,1.7,1005.2,0.0
2024-05-18,0 days 07:29:46,30.5,71.5,330.2,0.3,1005.2,0.0
2024-05-18,0 days 07:44:46,30.6,70.0,334.4,0.9,1005.2,0.0
2024-05-18,0 days 07:59:46,31.0,68.5,151.7,0.6,1005.4,0.0
2024-05-18,0 days 08:14:46,30.8,69.5,77.5,1.2,1005.6,0.0
2024-05-18,0 days 08:29:46,31.5,67.0,273.8,0.4,1005.6,0.0
2024-05-18,0 days 08:44:46,32.9,62.5,115.3,1.0,1005.7,0.0
2024-05-18,0 days 08:59:46,32.9,61.0,69.5,1.6,1005.7,0.0
2024-05-18,0 days 09:14:46,33.3,60.5,348.1,2.0,1005.8,0.0
2024-05-18,0 days 09:29:46,34.2,56.5,100.5,0.8,1005.9,0.0
2024-05-18,0 days 09:44:46,34.1,55.0,44.0,1.1,1005.8,0.0
2024-05-18,0 days 09:59:46,34.5,54.0,338.0,1.8,1005.7,0.0
2024-05-18,0 days 10:14:49,34.8,53.5,81.8,2.7,1005.6,0.0
2024-05-18,0 days 10:29:46,35.5,51.5,58.1,0.7,1005.6,0.0
2024-05-18,0 days 10:44:46,35.7,50.0,1.4,0.7,1005.4,0.0
2024-05-18,0 days 10:59:46,36.1,49.0,338.4,0.5,1005.3,0.0
2024-05-18,0 days 11:14:46,35.6,50.0,11.0,0.4,1005.2,0.0
2024-05-18,0 days 11:29:46,35.4,50.5,358.3,0.8,1005.0,0.0
2024-05-18,0 days 11:44:46,36.0,48.5,8.2,1.0,1004.9,0.0
2024-05-18,0 days 11:59:46,37.1,46.0,138.9,0.4,1004.7,0.0
2024-05-18,0 days 12:14:46,37.0,46.5,4.9,1.8,1004.4,0.0
2024-05-18,0 days 12:29:46,36.9,46.5,352.5,1.8,1004.2,0.0
2024-05-18,0 days 12:44:46,38.7,42.5,82.9,2.2,1004.1,0.0
2024-05-18,0 days 12:59:46,37.7,44.5,63.5,1.4,1003.8,0.0
2024-05-18,0 days 13:14:46,38.1,43.5,41.2,2.4,1003.6,0.0
2024-05-18,0 days 13:29:46,38.3,43.0,3.7,0.6,1003.3,0.0
2024-05-18,0 days 13:44:46,38.4,43.5,81.5,0.7,1003.1,0.0
2024-05-18,0 days 13:59:46,38.3,43.5,63.8,1.7,1002.8,0.0
2024-05-18,0 days 14:14:46,37.6,45.5,88.8,1.4,1002.5,0.0
2024-05-18,0 days 14:29:46,38.5,44.0,62.2,1.5,1002.5,0.0
2024-05-18,0 days 14:44:46,38.1,44.5,68.3,3.5,1002.1,0.0
2024-05-18,0 days 14:59:46,37.6,46.0,76.8,2.0,1002.0,0.0
2024-05-18,0 days 15:14:46,37.8,45.0,318.1,1.3,1001.9,0.0
2024-05-18,0 days 15:29:47,37.6,45.5,71.4,1.9,1001.8,0.0
2024-05-18,0 days 15:44:47,37.4,46.0,53.3,2.2,1001.7,0.0
2024-05-18,0 days 15:59:47,37.3,46.5,62.0,1.8,1001.8,0.0
2024-05-18,0 days 16:14:47,36.9,47.5,57.1,2.1,1001.6,0.0
2024-05-18,0 days 16:29:47,35.8,49.5,67.9,3.1,1001.4,0.0
2024-05-18,0 days 16:44:46,35.8,50.0,66.7,3.2,1001.4,0.0
2024-05-18,0 days 16:59:47,35.5,50.5,59.7,3.0,1001.2,0.0
2024-05-18,0 days 17:14:47,35.0,51.5,74.3,2.5,1001.3,0.0
2024-05-18,0 days 17:29:47,34.9,51.5,94.4,1.0,1001.7,0.0
2024-05-18,0 days 17:44:47,33.8,56.0,62.2,1.8,1001.8,0.01
2024-05-18,0 days 17:59:47,33.4,58.0,86.4,1.9,1002.2,0.01
2024-05-18,0 days 18:14:47,32.7,59.5,46.4,3.7,1002.4,0.01
2024-05-18,0 days 18:29:47,32.3,60.0,84.6,2.5,1002.6,0.01
2024-05-18,0 days 18:44:47,31.8,63.0,64.9,1.7,1002.7,0.01
2024-05-18,0 days 18:59:47,31.5,64.5,79.1,3.5,1002.6,0.01
2024-05-18,0 days 19:14:47,31.1,67.0,67.7,3.3,1003.1,0.01
2024-05-18,0 days 19:29:47,30.8,68.0,69.2,2.4,1003.3,0.01
2024-05-18,0 days 19:45:02,30.6,69.5,67.6,2.3,1003.2,0.01
2024-05-18,0 days 19:59:47,30.3,71.0,70.2,3.6,1003.5,0.01
2024-05-18,0 days 20:14:47,30.1,73.0,72.8,2.5,1003.8,0.01
2024-05-18,0 days 20:29:47,29.9,74.0,66.7,2.4,1004.3,0.01
2024-05-18,0 days 20:44:48,29.8,75.0,46.7,1.6,1004.6,0.01
2024-05-18,0 days 20:59:47,29.6,76.5,83.0,2.1,1004.9,0.01
2024-05-18,0 days 21:14:49,29.5,77.5,77.3,1.9,1004.9,0.01
2024-05-18,0 days 21:29:47,29.4,78.5,74.7,1.8,1005.2,0.01
2024-05-18,0 days 21:44:47,29.4,78.5,82.1,2.0,1005.7,0.01
2024-05-18,0 days 21:59:47,29.3,79.5,45.1,1.3,1005.8,0.01
2024-05-18,0 days 22:14:47,29.2,80.0,44.9,1.4,1006.2,0.01
2024-05-18,0 days 22:29:47,29.2,80.0,60.5,1.4,1006.3,0.01
2024-05-18,0 days 22:44:49,29.2,80.0,56.0,1.9,1006.3,0.01
2024-05-18,0 days 22:59:47,29.1,81.0,68.8,1.5,1006.4,0.01
2024-05-18,0 days 23:14:51,29.0,81.5,88.9,1.5,1006.1,0.01
2024-05-18,0 days 23:29:47,28.9,81.5,81.3,2.7,1006.3,0.01
2024-05-18,0 days 23:44:47,28.9,81.0,70.2,1.7,1006.6,0.01
2024-05-18,0 days 23:59:47,28.9,81.0,69.3,1.3,1006.6,0.01
2024-05-19,0 days 00:14:47,28.8,82.0,83.4,1.2,1006.3,0.01
2024-05-19,0 days 00:29:47,28.7,81.5,66.8,1.3,1006.3,0.01
2024-05-19,0 days 00:44:47,28.8,81.5,59.8,0.5,1006.6,0.01
2024-05-19,0 days 00:59:49,28.9,80.5,8.3,0.4,1006.6,0.01
2024-05-19,0 days 01:14:47,28.9,80.0,24.7,0.5,1006.6,0.01
2024-05-19,0 days 01:29:47,28.9,80.5,77.9,0.8,1006.5,0.01
2024-05-19,0 days 01:44:47,28.9,80.5,13.2,0.5,1006.3,0.01
2024-05-19,0 days 01:59:47,28.9,81.0,83.4,0.5,1006.4,0.01
2024-05-19,0 days 02:14:47,28.8,81.5,82.4,1.0,1006.1,0.01
2024-05-19,0 days 02:29:47,28.7,82.0,21.5,0.5,1006.2,0.01
2024-05-19,0 days 02:44:47,28.7,81.0,347.4,0.5,1006.0,0.01
2024-05-19,0 days 02:59:47,28.7,81.0,82.8,1.3,1005.9,0.01
2024-05-19,0 days 03:14:47,28.5,82.5,55.8,0.5,1005.6,0.01
2024-05-19,0 days 03:29:47,28.4,82.0,29.3,0.6,1005.6,0.01
2024-05-19,0 days 03:44:47,28.3,82.0,47.4,0.8,1005.7,0.01
2024-05-19,0 days 03:59:47,28.2,82.0,109.6,0.9,1005.8,0.01
2024-05-19,0 days 04:14:47,28.2,82.0,343.8,0.7,1006.0,0.01
2024-05-19,0 days 04:29:47,28.3,82.0,7.8,0.6,1006.2,0.01
2024-05-19,0 days 04:44:46,28.1,83.5,351.2,0.8,1006.3,0.01
2024-05-19,0 days 04:59:47,27.4,84.5,260.3,0.4,1006.5,0.01
2024-05-19,0 days 05:14:47,27.1,86.5,243.2,0.6,1006.7,0.01
2024-05-19,0 days 05:29:47,27.1,86.5,257.3,0.6,1006.9,0.01
2024-05-19,0 days 05:44:47,27.1,86.5,262.2,0.2,1007.0,0.01
2024-05-19,0 days 05:59:47,27.2,86.5,277.9,0.1,1007.2,0.01
2024-05-19,0 days 06:14:47,27.3,86.0,256.9,0.2,1007.5,0.01
2024-05-19,0 days 06:29:49,27.6,84.5,334.9,0.5,1007.6,0.01
2024-05-19,0 days 06:44:46,28.1,83.0,73.8,0.7,1007.6,0.01
2024-05-19,0 days 06:59:46,28.6,80.5,43.5,0.6,1007.7,0.01
2024-05-19,0 days 07:14:47,29.4,78.0,276.0,0.2,1007.9,0.01
2024-05-19,0 days 07:29:47,29.5,77.5,270.7,0.1,1008.1,0.02
2024-05-19,0 days 07:44:47,30.3,75.0,5.3,0.3,1008.2,0.02
2024-05-19,0 days 07:59:47,31.2,71.5,94.5,0.4,1008.1,0.02
2024-05-19,0 days 08:14:47,31.7,69.0,128.6,1.1,1007.9,0.02
2024-05-19,0 days 08:29:47,32.1,67.0,12.3,1.3,1008.0,0.02
2024-05-19,0 days 08:44:46,32.4,64.5,350.4,1.0,1007.8,0.02
2024-05-19,0 days 08:59:47,33.4,62.0,76.6,1.0,1007.8,0.02
2024-05-19,0 days 09:14:47,32.1,64.0,337.7,1.1,1007.7,0.02
2024-05-19,0 days 09:29:47,33.1,60.0,211.5,0.8,1007.7,0.02
2024-05-19,0 days 09:44:47,34.3,56.0,333.0,1.0,1007.7,0.02
2024-05-19,0 days 09:59:47,34.8,53.0,28.4,0.4,1007.7,0.02
2024-05-19,0 days 10:14:48,35.0,52.0,69.9,2.6,1007.6,0.02
2024-05-19,0 days 10:29:47,35.8,49.0,138.5,2.8,1007.6,0.02
2024-05-19,0 days 10:44:47,35.8,49.5,274.2,1.4,1007.3,0.02
2024-05-19,0 days 10:59:47,35.0,50.5,320.7,1.6,1007.1,0.02
2024-05-19,0 days 11:14:47,35.9,46.5,286.3,1.0,1007.0,0.03
2024-05-19,0 days 11:29:47,36.4,46.0,68.8,1.1,1006.7,0.03
2024-05-19,0 days 11:44:47,36.0,46.5,262.5,1.4,1006.4,0.03
2024-05-19,0 days 11:59:47,35.3,48.5,5.4,0.2,1006.1,0.03
2024-05-19,0 days 12:14:47,36.5,45.5,72.6,1.5,1005.9,0.03
2024-05-19,0 days 12:29:47,37.9,41.5,154.8,1.2,1005.6,0.03
2024-05-19,0 days 12:44:47,38.4,40.5,66.2,1.8,1005.3,0.03
2024-05-19,0 days 12:59:47,38.3,40.5,346.9,1.4,1004.9,0.03
2024-05-19,0 days 13:14:47,39.0,42.0,60.0,1.0,1004.6,0.03
2024-05-19,0 days 13:29:47,39.0,42.0,195.5,1.3,1004.3,0.03
2024-05-19,0 days 13:44:47,39.0,42.5,86.4,3.1,1004.2,0.03
2024-05-19,0 days 13:59:47,39.0,41.0,72.4,1.8,1003.8,0.03
2024-05-19,0 days 14:14:47,38.8,41.0,69.4,0.9,1003.5,0.03
2024-05-19,0 days 14:29:47,39.3,39.5,54.5,2.1,1003.2,0.03
2024-05-19,0 days 14:44:47,40.2,37.5,161.3,1.7,1002.8,0.03
2024-05-19,0 days 15:14:47,39.3,44.0,79.2,1.9,1002.3,0.03
2024-05-19,0 days 15:29:47,38.4,47.5,89.1,6.2,1002.1,0.03
2024-05-19,0 days 15:44:47,37.7,49.0,52.9,1.9,1002.0,0.03
2024-05-19,0 days 15:59:47,37.6,49.0,80.1,2.0,1001.9,0.03
2024-05-19,0 days 16:14:47,37.1,51.0,40.2,5.8,1001.8,0.03
2024-05-19,0 days 16:29:47,36.2,53.5,71.6,3.9,1001.8,0.03
2024-05-19,0 days 16:44:47,35.9,54.5,65.2,5.9,1001.9,0.03
2024-05-19,0 days 16:59:48,35.3,56.5,64.2,2.2,1001.8,0.0
2024-05-19,0 days 17:14:48,34.8,57.5,76.0,2.8,1001.7,0.0
2024-05-19,0 days 17:29:47,34.1,60.5,74.1,2.6,1001.8,0.0
2024-05-19,0 days 17:44:47,33.4,62.0,83.3,1.2,1002.0,0.0
2024-05-19,0 days 17:59:47,32.9,63.5,47.9,1.6,1002.0,0.0
2024-05-19,0 days 18:14:47,32.4,64.5,77.2,3.7,1002.1,0.0
2024-05-19,0 days 18:29:47,31.8,66.0,73.1,4.3,1002.5,0.0
2024-05-19,0 days 18:44:47,31.1,69.0,68.0,5.3,1002.9,0.0
2024-05-19,0 days 18:59:47,30.5,71.0,58.0,4.2,1003.2,0.0
2024-05-19,0 days 19:14:47,30.2,73.0,67.3,3.8,1003.4,0.0
2024-05-19,0 days 19:29:47,29.9,74.5,73.1,3.6,1003.6,0.0
2024-05-19,0 days 19:44:47,29.6,76.0,54.7,1.8,1003.9,0.0
2024-05-19,0 days 19:59:48,29.4,77.0,64.8,3.1,1004.0,0.0
2024-05-19,0 days 20:14:48,29.3,77.5,68.3,2.3,1004.5,0.0
2024-05-19,0 days 20:29:47,29.3,77.5,66.5,2.3,1004.6,0.0
2024-05-19,0 days 20:44:47,29.2,78.0,67.7,1.4,1004.8,0.0
2024-05-19,0 days 20:59:47,29.1,78.5,71.2,2.0,1004.8,0.0
2024-05-19,0 days 21:14:47,28.9,79.0,69.8,3.0,1005.0,0.0
2024-05-19,0 days 21:29:47,28.9,79.5,72.7,3.0,1005.2,0.0
2024-05-19,0 days 21:44:47,28.8,80.0,67.5,1.8,1005.3,0.0
2024-05-19,0 days 21:59:47,28.8,80.0,69.5,2.3,1005.4,0.0
2024-05-19,0 days 22:14:47,28.7,80.5,82.0,1.6,1005.6,0.0
2024-05-19,0 days 22:29:47,28.8,81.0,98.1,1.5,1005.7,0.0
2024-05-19,0 days 22:44:47,28.9,81.0,79.4,2.3,1005.8,0.0
2024-05-19,0 days 22:59:48,28.9,80.5,78.1,1.9,1006.0,0.0
2024-05-19,0 days 23:14:47,28.9,80.5,82.8,1.9,1006.1,0.0
2024-05-19,0 days 23:29:52,29.1,80.0,68.6,1.1,1006.2,0.0
2024-05-19,0 days 23:44:47,29.1,80.0,65.8,1.8,1006.0,0.0
2024-05-19,0 days 23:59:47,28.9,80.5,77.7,1.6,1006.0,0.0
2024-05-20,0 days 00:14:47,28.9,80.0,92.9,1.8,1005.8,0.0
2024-05-20,0 days 00:29:47,29.0,80.0,55.2,0.6,1005.7,0.0
2024-05-20,0 days 00:44:47,29.0,80.0,71.3,1.0,1005.4,0.0
2024-05-20,0 days 00:59:47,28.9,80.5,82.8,0.8,1005.2,0.0
2024-05-20,0 days 01:14:47,28.9,80.5,73.3,1.0,1005.2,0.0
2024-05-20,0 days 01:29:47,28.9,80.5,89.4,1.1,1005.0,0.0
2024-05-20,0 days 01:44:47,28.9,80.0,23.2,0.4,1004.7,0.0
2024-05-20,0 days 01:59:47,28.9,80.5,79.4,0.8,1004.5,0.0
2024-05-20,0 days 02:14:47,28.9,80.0,71.9,0.8,1004.4,0.0
2024-05-20,0 days 02:29:47,28.8,81.0,51.4,0.7,1004.1,0.0
2024-05-20,0 days 02:44:54,28.6,82.0,2.2,0.9,1003.8,0.0
2024-05-20,0 days 02:59:47,28.2,83.0,82.0,0.5,1003.7,0.0
2024-05-20,0 days 03:14:47,28.1,83.5,0.0,0.8,1003.6,0.0
2024-05-20,0 days 03:29:47,28.0,83.5,56.6,0.6,1003.5,0.0
2024-05-20,0 days 03:44:47,27.9,84.0,28.5,0.5,1003.6,0.0
2024-05-20,0 days 03:59:47,27.8,84.0,324.3,0.8,1003.5,0.0
2024-05-20,0 days 04:14:47,27.9,84.0,284.6,0.6,1003.6,0.0
2024-05-20,0 days 04:29:47,27.7,84.0,323.7,0.6,1003.6,0.0
2024-05-20,0 days 04:44:47,27.8,84.0,295.8,0.8,1003.6,0.0
2024-05-20,0 days 04:59:47,27.6,84.0,277.0,0.2,1003.6,0.0
2024-05-20,0 days 05:14:47,27.5,84.5,301.6,0.6,1003.5,0.0
2024-05-20,0 days 05:29:47,27.7,84.0,349.7,0.8,1003.6,0.0
2024-05-20,0 days 05:44:47,27.7,85.0,328.7,0.8,1003.7,0.0
2024-05-20,0 days 05:59:47,27.6,85.5,77.4,0.5,1003.8,0.0
2024-05-20,0 days 06:14:49,28.3,83.0,344.5,0.6,1004.0,0.0
2024-05-20,0 days 06:29:47,29.8,77.5,64.1,0.7,1004.0,0.0
2024-05-20,0 days 06:44:47,30.6,74.5,95.4,1.2,1004.2,0.0
2024-05-20,0 days 06:59:47,31.5,71.5,77.5,1.0,1004.4,0.0
2024-05-20,0 days 07:14:47,31.1,72.5,25.6,0.6,1004.4,0.0
2024-05-20,0 days 07:29:47,31.4,71.0,164.8,0.4,1004.5,0.0
2024-05-20,0 days 07:44:47,33.1,64.5,130.3,0.6,1004.5,0.0
2024-05-20,0 days 07:59:47,34.2,61.0,96.1,0.6,1004.5,0.0
2024-05-20,0 days 08:14:47,34.0,60.0,321.2,0.5,1004.5,0.0
2024-05-20,0 days 08:29:47,35.1,55.0,334.0,1.2,1004.5,0.0
2024-05-20,0 days 08:44:47,35.7,53.5,47.2,0.7,1004.6,0.0
2024-05-20,0 days 08:59:47,36.2,52.0,92.7,1.1,1004.7,0.0
2024-05-20,0 days 09:14:47,34.9,54.0,73.5,1.6,1004.5,0.0
2024-05-20,0 days 09:29:47,36.5,49.0,160.7,1.6,1004.6,0.0
2024-05-20,0 days 09:44:47,36.8,47.5,71.4,1.2,1004.4,0.0
2024-05-20,0 days 09:59:47,36.2,49.5,29.4,1.1,1004.4,0.0
2024-05-20,0 days 10:14:47,35.3,51.0,331.3,1.2,1004.2,0.0
2024-05-20,0 days 10:29:47,37.7,45.5,343.6,0.9,1004.2,0.0
2024-05-20,0 days 10:44:47,37.0,46.5,66.2,1.2,1004.1,0.0
2024-05-20,0 days 10:59:47,39.2,42.5,82.9,1.7,1004.2,0.0
2024-05-20,0 days 11:14:47,40.0,41.0,86.5,1.7,1004.1,0.0
2024-05-20,0 days 11:29:47,38.6,47.0,67.8,1.3,1003.6,0.0
2024-05-20,0 days 11:44:47,39.2,45.5,59.4,2.5,1003.3,0.0
2024-05-20,0 days 11:59:47,39.1,45.5,86.4,1.6,1003.1,0.0
2024-05-20,0 days 12:14:47,39.7,43.5,73.8,4.0,1002.9,0.0
2024-05-20,0 days 15:14:47,38.5,49.5,73.5,4.2,1000.1,0.0
2024-05-20,0 days 15:29:47,38.3,50.0,54.2,2.2,1000.0,0.0
2024-05-20,0 days 15:59:47,38.5,49.5,98.6,1.7,999.7,0.0
2024-05-20,0 days 16:14:47,37.9,50.5,113.3,3.6,999.5,0.0
2024-05-20,0 days 16:29:47,37.4,52.0,81.7,5.3,999.4,0.0
2024-05-20,0 days 16:44:47,37.0,52.5,69.1,4.4,999.3,0.0
2024-05-20,0 days 16:59:47,37.0,52.5,79.9,4.0,999.2,0.0
2024-05-20,0 days 17:14:47,36.7,52.5,112.5,3.4,999.4,0.0
2024-05-20,0 days 17:29:47,36.2,54.0,82.0,1.4,999.3,0.0
2024-05-20,0 days 17:44:47,35.9,55.5,63.4,1.6,999.5,0.0
2024-05-20,0 days 17:59:48,35.6,56.5,108.5,2.3,999.6,0.0
2024-05-20,0 days 18:14:47,34.8,58.0,122.7,3.1,999.9,0.0
2024-05-20,0 days 18:29:47,34.1,59.5,99.2,3.3,1000.0,0.0
2024-05-20,0 days 18:44:48,33.4,62.0,107.4,2.0,1000.1,0.0
2024-05-20,0 days 18:59:47,33.0,63.5,111.4,2.8,1000.2,0.0
2024-05-20,0 days 19:14:47,32.3,65.0,125.7,4.5,1000.4,0.0
2024-05-20,0 days 19:29:47,31.9,66.5,123.6,1.9,1000.6,0.0
2024-05-20,0 days 19:44:47,31.6,67.5,72.4,2.6,1000.8,0.0
2024-05-20,0 days 19:59:47,31.3,67.5,77.5,1.5,1001.1,0.0
2024-05-20,0 days 20:14:47,31.1,68.0,130.7,2.3,1001.5,0.0
2024-05-20,0 days 20:29:47,30.8,69.5,79.3,3.3,1001.7,0.0
2024-05-20,0 days 20:44:47,30.5,71.0,82.0,1.1,1001.9,0.0
2024-05-20,0 days 20:59:47,30.3,72.0,78.0,3.0,1002.0,0.0
2024-05-20,0 days 21:14:47,30.2,73.0,84.1,1.3,1002.3,0.0
2024-05-20,0 days 21:29:47,30.1,73.5,74.4,1.8,1002.5,0.0
2024-05-20,0 days 21:44:47,29.9,75.5,40.8,1.4,1002.7,0.0
2024-05-20,0 days 21:59:47,29.8,76.5,69.5,2.3,1002.8,0.0
2024-05-20,0 days 22:14:47,29.7,76.5,78.1,1.3,1003.0,0.0
2024-05-20,0 days 22:29:47,29.3,78.0,62.6,2.4,1003.2,0.0
2024-05-20,0 days 22:44:48,29.1,79.0,74.4,2.5,1003.3,0.0
2024-05-20,0 days 22:59:47,29.0,80.0,82.2,0.7,1003.3,0.0
2024-05-20,0 days 23:14:47,28.8,80.5,81.0,1.6,1003.5,0.0
2024-05-20,0 days 23:44:47,28.6,82.5,79.9,1.2,1003.4,0.0
2024-05-20,0 days 23:59:47,28.5,83.0,88.2,2.0,1003.5,0.0
2024-05-21,0 days 00:14:47,28.4,84.0,68.3,1.6,1003.5,0.0
2024-05-21,0 days 00:29:47,28.3,84.5,50.6,1.2,1003.5,0.0
2024-05-21,0 days 00:44:47,28.3,84.5,78.1,1.8,1003.4,0.0
2024-05-21,0 days 00:59:47,28.2,84.5,80.4,1.0,1003.2,0.0
2024-05-21,0 days 01:14:47,28.2,84.5,88.5,1.4,1003.2,0.0
2024-05-21,0 days 01:29:47,28.1,84.5,68.7,2.1,1003.0,0.0
2024-05-21,0 days 01:44:47,28.0,84.5,69.7,0.9,1002.7,0.0
2024-05-21,0 days 01:59:47,28.0,84.5,70.6,1.1,1002.6,0.0
2024-05-21,0 days 02:14:47,28.0,84.5,73.3,1.1,1002.5,0.0
2024-05-21,0 days 02:29:47,27.9,84.5,55.9,1.2,1002.4,0.0
2024-05-21,0 days 02:44:47,27.8,85.0,43.9,1.1,1002.4,0.0
2024-05-21,0 days 02:59:47,27.9,85.0,80.3,1.9,1002.3,0.0
2024-05-21,0 days 03:14:47,27.8,85.0,68.2,1.4,1002.4,0.0
2024-05-21,0 days 03:29:47,27.6,85.5,72.4,1.3,1002.1,0.0
2024-05-21,0 days 03:44:47,27.5,86.0,59.5,1.3,1002.2,0.0
2024-05-21,0 days 03:59:47,27.5,86.5,98.5,1.1,1001.9,0.0
2024-05-21,0 days 04:14:47,27.5,86.5,75.7,1.0,1002.1,0.0
2024-05-21,0 days 04:29:47,27.6,86.5,106.2,1.1,1002.2,0.0
2024-05-21,0 days 04:44:47,27.6,86.5,86.6,1.4,1002.4,0.0
2024-05-21,0 days 04:59:47,27.4,87.0,113.4,1.2,1002.2,0.0
2024-05-21,0 days 05:14:47,27.3,87.5,124.8,1.1,1002.5,0.0
2024-05-21,0 days 05:29:47,27.3,87.5,96.9,0.9,1002.8,0.0
2024-05-21,0 days 05:44:47,27.3,87.0,106.3,1.4,1002.8,0.0
2024-05-21,0 days 05:59:47,27.1,87.5,92.0,1.3,1003.0,0.0
2024-05-21,0 days 06:14:47,27.1,88.0,95.8,1.2,1003.2,0.0
2024-05-21,0 days 06:29:47,27.3,87.0,67.2,1.8,1003.3,0.0
2024-05-21,0 days 06:44:47,27.6,85.5,103.0,2.0,1003.3,0.0
2024-05-21,0 days 06:59:47,28.1,84.0,116.2,1.7,1003.6,0.0
2024-05-21,0 days 07:14:47,28.5,82.0,71.4,1.7,1003.8,0.0
2024-05-21,0 days 07:29:47,28.5,81.5,71.8,1.6,1003.9,0.0
2024-05-21,0 days 07:44:47,29.1,78.0,92.6,1.6,1004.1,0.0
2024-05-21,0 days 07:59:48,29.5,74.5,157.5,1.4,1004.1,0.0
2024-05-21,0 days 08:14:47,30.2,71.5,105.7,1.8,1004.1,0.0
2024-05-21,0 days 08:29:48,30.9,69.0,152.7,2.9,1004.1,0.0
2024-05-21,0 days 08:44:47,31.7,65.5,151.6,2.3,1004.1,0.0
2024-05-21,0 days 08:59:47,32.3,61.5,83.3,1.2,1004.0,0.0
2024-05-21,0 days 09:14:47,32.6,60.5,154.3,2.4,1003.9,0.0
2024-05-21,0 days 09:29:47,33.6,55.5,143.0,2.2,1003.8,0.0
2024-05-21,0 days 09:44:47,34.1,53.5,176.7,2.3,1003.7,0.0
2024-05-21,0 days 09:59:47,34.5,50.5,86.5,3.3,1003.6,0.0
2024-05-21,0 days 10:14:47,35.2,48.5,91.4,1.9,1003.4,0.0
2024-05-21,0 days 10:29:47,35.3,47.0,118.9,3.3,1003.2,0.0
2024-05-21,0 days 10:44:47,35.6,46.0,83.3,2.3,1003.1,0.0
2024-05-21,0 days 10:59:47,36.1,46.0,125.8,3.2,1003.0,0.0
2024-05-21,0 days 11:14:47,36.4,46.5,82.2,2.9,1002.7,0.0
2024-05-21,0 days 11:29:47,36.1,47.5,78.1,1.7,1002.6,0.0
2024-05-21,0 days 11:44:47,36.0,48.5,97.5,2.1,1002.4,0.0
2024-05-21,0 days 11:59:48,36.7,45.5,68.1,4.4,1002.2,0.0
2024-05-21,0 days 12:14:47,37.1,45.0,71.6,1.9,1002.0,0.0
2024-05-21,0 days 12:29:47,37.0,46.0,77.4,2.8,1001.7,0.0
2024-05-21,0 days 12:44:48,37.2,45.5,94.5,4.3,1001.4,0.0
2024-05-21,0 days 12:59:47,37.2,45.5,84.8,7.0,1001.1,0.0
2024-05-21,0 days 13:14:47,37.5,45.0,135.9,3.7,1000.9,0.0
2024-05-21,0 days 13:29:47,37.1,46.5,64.6,4.8,1000.8,0.0
2024-05-21,0 days 13:59:48,37.4,46.5,63.7,2.5,1000.4,0.0
