Tiempo,Temperatura,Humedad,Dirección del viento,Velocidad del viento,Presión barométrica,Precipitación,Batería
"2024-08-29 19:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 19:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 19:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 20:01:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-29 20:16:25","29.5 ℃","77 %","73.1 °","1.7 m/s","1008.4 hPa","0 mm","100 %",
"2024-08-29 20:31:25","29.4 ℃","77.5 %","78 °","2.6 m/s","1008.6 hPa","0 mm","100 %",
"2024-08-29 20:46:25","29.3 ℃","78 %","101.3 °","1.4 m/s","1008.7 hPa","0 mm","100 %",
"2024-08-29 21:01:25","29.2 ℃","77.5 %","70.6 °","1.5 m/s","1008.9 hPa","0 mm","100 %",
"2024-08-29 21:16:25","29 ℃","78 %","54.4 °","1.1 m/s","1008.9 hPa","0 mm","100 %",
"2024-08-29 21:31:25","29 ℃","77 %","78 °","1.6 m/s","1009.1 hPa","0 mm","100 %",
"2024-08-29 21:46:25","28.7 ℃","78 %","132.5 °","2.2 m/s","1009.2 hPa","0 mm","100 %",
"2024-08-29 22:01:25","28.5 ℃","78.5 %","97.4 °","1.3 m/s","1009.4 hPa","0 mm","100 %",
"2024-08-29 22:16:25","28.3 ℃","78.5 %","96.9 °","1.1 m/s","1009.6 hPa","0 mm","100 %",
"2024-08-29 22:31:25","28.2 ℃","79 %","109.6 °","1.6 m/s","1009.5 hPa","0 mm","99 %",
"2024-08-29 22:46:25","28.1 ℃","79.5 %","139.6 °","2.3 m/s","1009.6 hPa","0 mm","99 %",
"2024-08-29 23:01:25","28 ℃","79 %","125.6 °","0.8 m/s","1009.5 hPa","0 mm","99 %",
"2024-08-29 23:16:25","27.9 ℃","79.5 %","105 °","1 m/s","1009.4 hPa","0 mm","99 %",
"2024-08-29 23:31:25","27.6 ℃","80.5 %","127.7 °","1.5 m/s","1009.4 hPa","0 mm","98 %",
"2024-08-29 23:46:25","27.5 ℃","81 %","161 °","1.6 m/s","1009.2 hPa","0 mm","98 %",
"2024-08-30 00:01:25","27.5 ℃","81.5 %","114.8 °","1.9 m/s","1009.1 hPa","0 mm","98 %",
"2024-08-30 00:16:25","27.5 ℃","81.5 %","151.9 °","1.2 m/s","1009.1 hPa","0 mm","98 %",
"2024-08-30 00:31:25","27.3 ℃","82 %","134.2 °","0.3 m/s","1008.9 hPa","0 mm","96 %",
"2024-08-30 00:46:25","27.3 ℃","82 %","147.4 °","0.4 m/s","1008.5 hPa","0 mm","96 %",
"2024-08-30 01:01:25","27.1 ℃","83 %","159.6 °","0.6 m/s","1008.3 hPa","0 mm","96 %",
"2024-08-30 01:16:25","26.7 ℃","84.5 %","351.3 °","0.4 m/s","1008.1 hPa","0 mm","96 %",
"2024-08-30 01:31:25","26.5 ℃","85.5 %","248.6 °","0.3 m/s","1008.2 hPa","0 mm","95 %",
"2024-08-30 01:46:25","26.3 ℃","87 %","301.9 °","0.3 m/s","1008.1 hPa","0 mm","95 %",
"2024-08-30 02:01:25","26.3 ℃","87 %","322.3 °","0.3 m/s","1007.8 hPa","0 mm","95 %",
"2024-08-30 02:16:25","26.2 ℃","87 %","268 °","0.4 m/s","1007.7 hPa","0 mm","95 %",
"2024-08-30 02:31:25","25.9 ℃","88 %","277.8 °","0.8 m/s","1007.5 hPa","0 mm","94 %",
"2024-08-30 02:46:25","25.9 ℃","89 %","359.2 °","0.5 m/s","1007.7 hPa","0 mm","94 %",
"2024-08-30 03:01:25","26.1 ℃","88 %","48.7 °","0.6 m/s","1007.7 hPa","0 mm","94 %",
"2024-08-30 03:16:25","26.2 ℃","87 %","110.3 °","0.3 m/s","1007.7 hPa","0 mm","94 %",
"2024-08-30 03:31:25","26.4 ℃","86.5 %","4.3 °","0.4 m/s","1007.5 hPa","0 mm","93 %",
"2024-08-30 03:46:25","26.5 ℃","86.5 %","356 °","0.9 m/s","1007.6 hPa","0 mm","93 %",
"2024-08-30 04:01:25","26.5 ℃","87 %","11.8 °","1.5 m/s","1007.8 hPa","0 mm","93 %",
"2024-08-30 04:16:25","26.4 ℃","87 %","352.2 °","0.6 m/s","1007.8 hPa","0 mm","93 %",
"2024-08-30 04:31:25","26.4 ℃","86.5 %","337.9 °","0.6 m/s","1007.6 hPa","0 mm","93 %",
"2024-08-30 04:46:25","26.3 ℃","87 %","0.2 °","0.7 m/s","1007.6 hPa","0 mm","91 %",
"2024-08-30 05:01:25","26.3 ℃","87 %","8.2 °","0.6 m/s","1007.7 hPa","0 mm","91 %",
"2024-08-30 05:16:25","26.2 ℃","87 %","89.1 °","0.5 m/s","1007.5 hPa","0 mm","91 %",
"2024-08-30 05:31:25","26.1 ℃","88 %","69.3 °","0.5 m/s","1007.6 hPa","0 mm","91 %",
"2024-08-30 05:46:25","26.1 ℃","87.5 %","25.4 °","0.2 m/s","1007.9 hPa","0 mm","91 %",
"2024-08-30 06:01:25","26 ℃","88.5 %","73.9 °","0.7 m/s","1007.9 hPa","0 mm","90 %",
"2024-08-30 06:16:25","26 ℃","88.5 %","75.9 °","1 m/s","1008.1 hPa","0 mm","90 %",
"2024-08-30 06:31:25","26 ℃","89 %","88.7 °","0.9 m/s","1008.1 hPa","0 mm","90 %",
"2024-08-30 06:46:25","26.3 ℃","88 %","81 °","0.8 m/s","1008.3 hPa","0 mm","90 %",
"2024-08-30 07:01:25","26.4 ℃","88 %","71 °","0.6 m/s","1008.2 hPa","0 mm","89 %",
"2024-08-30 07:16:25","26.9 ℃","87 %","61.8 °","0.2 m/s","1008.6 hPa","0 mm","89 %",
"2024-08-30 07:31:25","27.7 ℃","84.5 %","113.6 °","0.5 m/s","1008.7 hPa","0 mm","89 %",
"2024-08-30 07:46:25","28.6 ℃","78.5 %","94 °","0.5 m/s","1008.7 hPa","0 mm","89 %",
"2024-08-30 08:01:25","30 ℃","74.5 %","82.4 °","0.9 m/s","1009 hPa","0 mm","89 %",
"2024-08-30 08:16:25","31 ℃","69.5 %","138.4 °","1.8 m/s","1008.9 hPa","0 mm","94 %",
"2024-08-30 08:31:25","30.6 ℃","69.5 %","127.1 °","1.7 m/s","1008.7 hPa","0 mm","94 %",
"2024-08-30 08:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","94 %",
"2024-08-30 09:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","94 %",
"2024-08-30 09:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 09:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 09:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 10:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 10:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 10:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 10:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 11:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 11:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 11:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 11:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 12:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 12:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 12:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 12:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 13:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 13:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 13:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 13:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 14:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 14:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 14:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 14:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 15:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 15:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 15:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 15:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 16:01:25","36 ℃","52.5 %","46.2 °","1.8 m/s","1005.3 hPa","0 mm","100 %",
"2024-08-30 16:16:25","36 ℃","52 %","66.4 °","2.3 m/s","1005.3 hPa","0 mm","100 %",
"2024-08-30 16:31:25","35.7 ℃","55 %","43.1 °","1.6 m/s","1005.5 hPa","0 mm","100 %",
"2024-08-30 16:46:25","35.1 ℃","57 %","128 °","1.4 m/s","1005.7 hPa","0 mm","100 %",
"2024-08-30 17:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 17:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 17:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 17:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 18:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 18:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 18:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 18:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 19:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 19:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 19:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 19:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 20:01:25"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-30 20:16:25","29.7 ℃","77 %","97.3 °","2.6 m/s","1007.5 hPa","0 mm","100 %",
"2024-08-30 20:31:25","29.6 ℃","78 %","67 °","1.4 m/s","1007.6 hPa","0 mm","100 %",
"2024-08-30 20:46:25","29.4 ℃","78.5 %","62.1 °","1.1 m/s","1008 hPa","0 mm","100 %",
"2024-08-30 21:01:25","29.1 ℃","79.5 %","63.3 °","1.7 m/s","1008.3 hPa","0 mm","100 %",
"2024-08-30 21:16:25","29.2 ℃","79.5 %","96.3 °","1.5 m/s","1008.6 hPa","0 mm","100 %",
"2024-08-30 21:31:25","29.2 ℃","79.5 %","97.6 °","2.4 m/s","1008.6 hPa","0 mm","100 %",
"2024-08-30 21:46:25","29.1 ℃","80 %","87.1 °","2.2 m/s","1008.7 hPa","0 mm","100 %",
"2024-08-30 22:01:25","29 ℃","80 %","79.3 °","1.4 m/s","1008.8 hPa","0 mm","100 %",
"2024-08-30 22:16:25","28.8 ℃","80.5 %","132.6 °","1.6 m/s","1008.8 hPa","0 mm","100 %",
"2024-08-30 22:31:25","28.7 ℃","81 %","70.8 °","1.2 m/s","1008.9 hPa","0 mm","100 %",
"2024-08-30 22:46:25","28.6 ℃","80.5 %","75.1 °","2.2 m/s","1009 hPa","0 mm","100 %",
"2024-08-30 23:01:25","28.5 ℃","81.5 %","116.2 °","2.2 m/s","1008.9 hPa","0 mm","100 %",
"2024-08-30 23:16:25","28.3 ℃","82 %","115.6 °","1.1 m/s","1008.9 hPa","0 mm","98 %",
"2024-08-30 23:31:25","28.1 ℃","83 %","72.2 °","0.7 m/s","1008.9 hPa","0 mm","98 %",
"2024-08-30 23:46:25","28 ℃","84 %","103.1 °","1.2 m/s","1009.1 hPa","0 mm","98 %",
"2024-08-31 00:01:25","27.9 ℃","84.5 %","113.2 °","0.9 m/s","1008.7 hPa","0 mm","98 %",
"2024-08-31 00:16:25","27.8 ℃","84 %","112.8 °","1.2 m/s","1008.7 hPa","0 mm","98 %",
"2024-08-31 00:31:25","27.8 ℃","84 %","142.4 °","0.3 m/s","1008.7 hPa","0 mm","97 %",
"2024-08-31 00:46:25","27.6 ℃","84 %","116.6 °","1 m/s","1008.4 hPa","0 mm","97 %",
"2024-08-31 01:01:25","27.7 ℃","84 %","80.6 °","0.7 m/s","1008.7 hPa","0 mm","97 %",
"2024-08-31 01:16:25","27.6 ℃","84.5 %","149.7 °","0.7 m/s","1008.6 hPa","0 mm","97 %",
"2024-08-31 01:31:25","27.1 ℃","86 %","173.9 °","1 m/s","1008.4 hPa","0 mm","97 %",
"2024-08-31 01:46:25","26.8 ℃","87 %","154.3 °","0.6 m/s","1008.4 hPa","0 mm","95 %",
"2024-08-31 02:01:25","26.7 ℃","87.5 %","167.9 °","1.1 m/s","1008.2 hPa","0 mm","95 %",
"2024-08-31 02:16:25","26.5 ℃","88.5 %","161.9 °","1.1 m/s","1008.1 hPa","0 mm","95 %",
"2024-08-31 02:31:25","26.4 ℃","88.5 %","131.8 °","0.2 m/s","1007.9 hPa","0 mm","95 %",
"2024-08-31 02:46:25","26.3 ℃","89.5 %","343.1 °","0.4 m/s","1007.7 hPa","0 mm","95 %",
"2024-08-31 03:01:25","26.3 ℃","89.5 %","351 °","0.6 m/s","1007.6 hPa","0 mm","94 %",
"2024-08-31 03:16:25","26.3 ℃","89.5 %","328.8 °","0.2 m/s","1007.5 hPa","0 mm","94 %",
"2024-08-31 03:31:25","26.3 ℃","90 %","48.3 °","0.1 m/s","1007.4 hPa","0 mm","94 %",
"2024-08-31 03:46:25","26.2 ℃","89 %","276.2 °","0.6 m/s","1007.3 hPa","0 mm","94 %",
"2024-08-31 04:01:25","26.1 ℃","90.5 %","302.4 °","0.5 m/s","1007.4 hPa","0 mm","94 %",
"2024-08-31 04:16:25","26.2 ℃","90.5 %","10.3 °","0.6 m/s","1007.3 hPa","0 mm","92 %",
"2024-08-31 04:31:25","26.2 ℃","90.5 %","337.5 °","0.2 m/s","1007.1 hPa","0 mm","92 %",
"2024-08-31 04:46:25","26.4 ℃","90 %","46.1 °","0.5 m/s","1007.2 hPa","0 mm","92 %",
"2024-08-31 05:01:25","26.4 ℃","90.5 %","346.6 °","0.5 m/s","1007.3 hPa","0 mm","92 %",
"2024-08-31 05:16:25","26.5 ℃","90 %","46.2 °","0.5 m/s","1007.2 hPa","0 mm","91 %",
"2024-08-31 05:31:25","26.6 ℃","90 %","342.5 °","0.5 m/s","1007.4 hPa","0 mm","91 %",
"2024-08-31 05:46:25","26.5 ℃","89.5 %","24.7 °","0.4 m/s","1007.4 hPa","0 mm","91 %",
"2024-08-31 06:01:25","26.2 ℃","89.5 %","343.2 °","0.6 m/s","1007.5 hPa","0 mm","91 %",
"2024-08-31 06:16:25","26.2 ℃","89.5 %","5.3 °","1.2 m/s","1007.4 hPa","0 mm","89 %",
"2024-08-31 06:31:25","26.3 ℃","89.5 %","346.7 °","0.4 m/s","1007.7 hPa","0 mm","89 %",
"2024-08-31 06:46:25","26.8 ℃","88.5 %","41.7 °","0.3 m/s","1007.9 hPa","0 mm","89 %",
"2024-08-31 07:01:25","27.4 ℃","86 %","38.4 °","0.4 m/s","1008.3 hPa","0 mm","89 %",
"2024-08-31 07:16:25","28.1 ℃","83 %","3 °","0.5 m/s","1008.4 hPa","0 mm","89 %",
"2024-08-31 07:31:25","28.7 ℃","81.5 %","352 °","0.7 m/s","1008.6 hPa","0 mm","89 %",
"2024-08-31 07:46:25","29.5 ℃","79 %","336 °","0.7 m/s","1008.7 hPa","0 mm","89 %",
"2024-08-31 08:01:25","30 ℃","76.5 %","359.4 °","1.4 m/s","1008.7 hPa","0 mm","89 %",
"2024-08-31 08:16:25","30.4 ℃","75.5 %","49.2 °","0.5 m/s","1008.9 hPa","0 mm","89 %",
"2024-08-31 08:31:25","31.6 ℃","71 %","192.9 °","0.4 m/s","1009 hPa","0 mm","95 %",
"2024-08-31 08:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","95 %",
"2024-08-31 09:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","95 %",
"2024-08-31 09:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","95 %",
"2024-08-31 09:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","95 %",
"2024-08-31 09:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 10:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 10:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 10:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 10:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 11:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 11:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 11:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 11:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 12:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 12:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 12:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 12:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 13:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 13:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 13:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 13:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 14:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 14:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 14:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 14:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 15:01:25","37.7 ℃","47.5 %","123.2 °","3.5 m/s","1004.6 hPa","0 mm","100 %",
"2024-08-31 15:16:25","37.7 ℃","46.5 %","52.2 °","0.8 m/s","1004.5 hPa","0 mm","100 %",
"2024-08-31 15:31:25","37.1 ℃","49 %","78.2 °","2.5 m/s","1004.2 hPa","0 mm","100 %",
"2024-08-31 15:46:28","36.5 ℃","56.5 %","59.7 °","1.5 m/s","1004.3 hPa","0 mm","100 %",
"2024-08-31 16:01:25","35.6 ℃","59.5 %","99.3 °","1.2 m/s","1004.1 hPa","0 mm","100 %",
"2024-08-31 16:16:25","35 ℃","61 %","71.2 °","4.3 m/s","1003.9 hPa","0 mm","100 %",
"2024-08-31 16:31:25","34.4 ℃","62.5 %","62.3 °","2.1 m/s","1003.8 hPa","0 mm","100 %",
"2024-08-31 16:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 17:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 17:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 17:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 17:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 18:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 18:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 18:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 18:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 19:01:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 19:16:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 19:31:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 19:46:29"," -","127.5 %","6553.5 °","6553.5 m/s","6553.5 hPa","655.35 mm","100 %",
"2024-08-31 20:01:25","29.5 ℃","77 %","65.3 °","1.8 m/s","1006.6 hPa","0 mm","100 %",
"2024-08-31 20:16:25","29.4 ℃","78.5 %","102.3 °","1.3 m/s","1007.2 hPa","0 mm","100 %",
"2024-08-31 20:31:25","29.3 ℃","79 %","85 °","0.9 m/s","1007.4 hPa","0 mm","100 %",
"2024-08-31 20:46:25","29.3 ℃","78.5 %","34.6 °","1.1 m/s","1007.5 hPa","0 mm","100 %",
"2024-08-31 21:01:27","29.1 ℃","79.5 %","81.4 °","1.6 m/s","1007.5 hPa","0 mm","100 %",
"2024-08-31 21:16:25","29 ℃","80.5 %","103.9 °","1.4 m/s","1007.7 hPa","0 mm","100 %",
"2024-08-31 21:31:25","29 ℃","80.5 %","61.6 °","1.4 m/s","1008 hPa","0 mm","100 %",
"2024-08-31 21:46:25","28.9 ℃","81 %","76.9 °","2.2 m/s","1008.1 hPa","0 mm","100 %",
"2024-08-31 22:01:25","28.9 ℃","81 %","108.7 °","1.8 m/s","1008.1 hPa","0 mm","100 %",
